,County_State
0,"Anchorage County, Alaska"
1,"Anchorage County, Alaska"
2,"Bethel County, Alaska"
3,"Bristol Bay County, Alaska"
4,"Cordova-McCarthy County, Alaska"
5,"Fairbanks County, Alaska"
6,"Fairbanks County, Alaska"
7,"Fairbanks County, Alaska"
8,"Fairbanks County, Alaska"
9,"Fairbanks County, Alaska"
10,"Kenai-Cook Inlet County, Alaska"
11,"Matanuska-Susitna County, Alaska"
12,"Matanuska-Susitna County, Alaska"
13,"Prince of Wales County, Alaska"
14,"Prince of Wales County, Alaska"
15,"Prince of Wales County, Alaska"
16,"Southeast Fairbanks County, Alaska"
17,"Southeast Fairbanks County, Alaska"
18,"Southeast Fairbanks County, Alaska"
19,"Valdez-Chitina-Whittier County, Alaska"
20,"Autauga County, Alabama"
21,"Baldwin County, Alabama"
22,"Barbour County, Alabama"
23,"Bibb County, Alabama"
24,"Blount County, Alabama"
25,"Blount County, Alabama"
26,"Blount County, Alabama"
27,"Blount County, Alabama"
29,"Cherokee County, Alabama"
30,"Chilton County, Alabama"
31,"Chilton County, Alabama"
32,"Clarke County, Alabama"
33,"Clarke County, Alabama"
34,"Clarke County, Alabama"
35,"Clarke County, Alabama"
36,"Clay County, Alabama"
37,"Clay County, Alabama"
38,"Cleburne County, Alabama"
39,"Coffee County, Alabama"
40,"Colbert County, Alabama"
41,"Colbert County, Alabama"
42,"Colbert County, Alabama"
43,"Conecuh County, Alabama"
44,"Conecuh County, Alabama"
45,"Covington County, Alabama"
46,"Covington County, Alabama"
47,"Cullman County, Alabama"
48,"Cullman County, Alabama"
49,"Dale County, Alabama"
50,"Dale County, Alabama"
51,"Dallas County, Alabama"
52,"Escambia County, Alabama"
53,"Etowa County, Alabama"
54,"Etowa County, Alabama"
55,"Franklin County, Alabama"
56,"Franklin County, Alabama"
57,"Henry County, Alabama"
58,"Henry County, Alabama"
59,"Jackson County, Alabama"
60,"Jackson County, Alabama"
61,"Jefferson County, Alabama"
62,"Jefferson County, Alabama"
63,"Lamar County, Alabama"
64,"Lauderdale County, Alabama"
65,"Lee County, Alabama"
66,"Lee County, Alabama"
67,"Lee County, Alabama"
68,"Limestone County, Alabama"
69,"Limestone County, Alabama"
70,"Limestone County, Alabama"
71,"Limestone County, Alabama"
73,"Macon County, Alabama"
74,"Madison County, Alabama"
75,"Madison County, Alabama"
76,"Madison County, Alabama"
77,"Marshall County, Alabama"
78,"Mobile County, Alabama"
79,"Monroe County, Alabama"
80,"Morgan County, Alabama"
81,"Morgan County, Alabama"
82,"Morgan County, Alabama"
83,"Morgan County, Alabama"
84,"Morgan County, Alabama"
85,"Pickens County, Alabama"
86,"Pickens County, Alabama"
87,"Pike County, Alabama"
88,"Russell County, Alabama"
89,"Shelby County, Alabama"
90,"St. Clair County, Alabama"
91,"St. Clair County, Alabama"
92,"St. Clair County, Alabama"
93,"Talladega County, Alabama"
94,"Talladega County, Alabama"
95,"Talladega County, Alabama"
97,"Tallapoosa County, Alabama"
98,"Tuscaloosa County, Alabama"
99,"Tuscaloosa County, Alabama"
100,"Tuscaloosa County, Alabama"
101,"Tuscaloosa County, Alabama"
102,"Tuscaloosa County, Alabama"
103,"Walker County, Alabama"
104,"Walker County, Alabama"
105,"Walker County, Alabama"
106,"Walker County, Alabama"
107,"Washington County, Alabama"
108,"Washington County, Alabama"
109,"Wilcox County, Alabama"
110,"Winston County, Alabama"
111,"Winston County, Alabama"
112,"Baxter County, Arkansas"
113,"Baxter County, Arkansas"
114,"Baxter County, Arkansas"
115,"Baxter County, Arkansas"
116,"Baxter County, Arkansas"
117,"Baxter County, Arkansas"
118,"Benton County, Arkansas"
119,"Benton County, Arkansas"
120,"Benton County, Arkansas"
121,"Carroll County, Arkansas"
122,"Carroll County, Arkansas"
123,"Chicot County, Arkansas"
124,"Clark County, Arkansas"
125,"Clark County, Arkansas"
126,"Cleveland County, Arkansas"
127,"Cleveland County, Arkansas"
128,"Crawford County, Arkansas"
129,"Crittenden County, Arkansas"
130,"Crittenden County, Arkansas"
131,"Desha County, Arkansas"
132,"Drew County, Arkansas"
133,"Faulkner County, Arkansas"
134,"Fulton County, Arkansas"
135,"Fulton County, Arkansas"
136,"Garland County, Arkansas"
137,"Greene County, Arkansas"
138,"Hot Spring County, Arkansas"
139,"Hot Spring County, Arkansas"
140,"Hot Spring County, Arkansas"
141,"Hot Spring County, Arkansas"
142,"Hot Spring County, Arkansas"
143,"Hot Spring County, Arkansas"
144,"Independence County, Arkansas"
145,"Independence County, Arkansas"
146,"Independence County, Arkansas"
147,"Jackson County, Arkansas"
148,"Lee County, Arkansas"
149,"Little River County, Arkansas"
150,"Logan County, Arkansas"
151,"Logan County, Arkansas"
152,"Lonoke County, Arkansas"
153,"Madison County, Arkansas"
154,"Madison County, Arkansas"
155,"Madison County, Arkansas"
156,"Marion County, Arkansas"
157,"Marion County, Arkansas"
158,"Marion County, Arkansas"
159,"Miller County, Arkansas"
160,"Miller County, Arkansas"
161,"Miller County, Arkansas"
162,"Miller County, Arkansas"
163,"Miller County, Arkansas"
164,"Polk County, Arkansas"
165,"Polk County, Arkansas"
166,"Polk County, Arkansas"
167,"Pope County, Arkansas"
168,"Pope County, Arkansas"
169,"Pope County, Arkansas"
170,"Pulaski County, Arkansas"
171,"Pulaski County, Arkansas"
172,"Pulaski County, Arkansas"
173,"Pulaski County, Arkansas"
174,"Randolph County, Arkansas"
175,"Saline County, Arkansas"
176,"Saline County, Arkansas"
177,"Saline County, Arkansas"
178,"Saline County, Arkansas"
179,"Saline County, Arkansas"
180,"Saline County, Arkansas"
181,"Saline County, Arkansas"
182,"Searcy County, Arkansas"
183,"Searcy County, Arkansas"
184,"Sebastian County, Arkansas"
185,"Sebastian County, Arkansas"
186,"Sevier County, Arkansas"
187,"Sevier County, Arkansas"
188,"St. Francis County, Arkansas"
189,"Union County, Arkansas"
190,"Union County, Arkansas"
191,"Union County, Arkansas"
192,"Washington County, Arkansas"
193,"Washington County, Arkansas"
194,"White County, Arkansas"
195,"White County, Arkansas"
196,"White County, Arkansas"
197,"Yell County, Arkansas"
198,"Yell County, Arkansas"
199,"Apache County, Arizona"
200,"Apache County, Arizona"
201,"Apache County, Arizona"
202,"Apache County, Arizona"
203,"Apache County, Arizona"
204,"Apache County, Arizona"
205,"Apache County, Arizona"
206,"Apache County, Arizona"
207,"Apache County, Arizona"
208,"Apache County, Arizona"
209,"Cochise County, Arizona"
210,"Cochise County, Arizona"
211,"Coconino County, Arizona"
212,"Coconino County, Arizona"
213,"Coconino County, Arizona"
214,"Coconino County, Arizona"
215,"Coconino County, Arizona"
216,"Coconino County, Arizona"
217,"Coconino County, Arizona"
218,"Coconino County, Arizona"
219,"Coconino County, Arizona"
220,"Coconino County, Arizona"
221,"Coconino County, Arizona"
222,"Coconino County, Arizona"
223,"Coconino County, Arizona"
224,"Coconino County, Arizona"
225,"Coconino County, Arizona"
226,"Coconino County, Arizona"
227,"Coconino County, Arizona"
228,"Coconino County, Arizona"
229,"Coconino County, Arizona"
230,"Coconino County, Arizona"
231,"Coconino County, Arizona"
232,"Coconino County, Arizona"
233,"Coconino County, Arizona"
234,"Coconino County, Arizona"
235,"Coconino County, Arizona"
236,"Coconino County, Arizona"
237,"Coconino County, Arizona"
238,"Coconino County, Arizona"
239,"Coconino County, Arizona"
240,"Coconino County, Arizona"
241,"Coconino County, Arizona"
242,"Coconino County, Arizona"
243,"Coconino County, Arizona"
244,"Gila County, Arizona"
245,"Gila County, Arizona"
246,"Gila County, Arizona"
247,"Gila County, Arizona"
248,"Gila County, Arizona"
249,"Gila County, Arizona"
250,"Graham County, Arizona"
251,"Graham County, Arizona"
252,"Graham County, Arizona"
253,"Graham County, Arizona"
254,"Graham County, Arizona"
255,"Graham County, Arizona"
256,"Graham County, Arizona"
257,"Graham County, Arizona"
258,"Greenlee County, Arizona"
259,"Maricopa County, Arizona"
260,"Maricopa County, Arizona"
261,"Maricopa County, Arizona"
262,"Maricopa County, Arizona"
263,"Maricopa County, Arizona"
264,"Maricopa County, Arizona"
265,"Mohave County, Arizona"
266,"Mohave County, Arizona"
267,"Navajo County, Arizona"
268,"Navajo County, Arizona"
269,"Navajo County, Arizona"
270,"Navajo County, Arizona"
271,"Navajo County, Arizona"
272,"Navajo County, Arizona"
273,"Pima County, Arizona"
274,"Yavapai County, Arizona"
275,"Yavapai County, Arizona"
276,"Yavapai County, Arizona"
277,"Yavapai County, Arizona"
278,"Yavapai County, Arizona"
279,"Yavapai County, Arizona"
280,"Yavapai County, Arizona"
281,"Yavapai County, Arizona"
283,"Alpine County, California"
284,"Alpine County, California"
285,"Alpine County, California"
286,"Alpine County, California"
287,"Alpine County, California"
288,"Alpine County, California"
289,"Alpine County, California"
290,"Alpine County, California"
291,"Alpine County, California"
292,"Amador County, California"
293,"Butte County, California"
294,"Butte County, California"
295,"Butte County, California"
296,"Butte County, California"
297,"Butte County, California"
298,"Butte County, California"
299,"Butte County, California"
300,"Calaveras County, California"
301,"Calaveras County, California"
302,"Calaveras County, California"
303,"Calaveras County, California"
304,"Calaveras County, California"
305,"Calaveras County, California"
306,"Calaveras County, California"
307,"Calaveras County, California"
308,"Contra Costa County, California"
309,"Del Norte County, California"
310,"Del Norte County, California"
311,"Del Norte County, California"
312,"Del Norte County, California"
313,"Del Norte County, California"
314,"Del Norte County, California"
315,"Del Norte County, California"
316,"Del Norte County, California"
317,"Del Norte County, California"
318,"Del Norte County, California"
319,"Del Norte County, California"
320,"Del Norte County, California"
321,"Del Norte County, California"
322,"Del Norte County, California"
323,"Del Norte County, California"
324,"Del Norte County, California"
325,"Del Norte County, California"
326,"Del Norte County, California"
