Location,Count
0,"Phoenix, AZ",777
1,"Seattle, WA",713
2,"Las Vegas, NV",628
3,"Portland, OR",573
4,"San Diego, CA",501
5,"Los Angeles, CA",484
6,"Tucson, AZ",433
7,"Chicago, IL",424
8,"Houston, TX",397
9,"Albuquerque, NM",388
10,"Orlando, FL",386
11,"Miami, FL",357
12,"Austin, TX",325
13,"Sacramento, CA",324
14,"Myrtle Beach, SC",316
15,"Denver, CO",312
16,"San Jose, CA",296
17,"Jacksonville, FL",266
18,"Boise, ID",264
19,"Columbus, OH",264
20,"Colorado Springs, CO",256
21,"Mesa, AZ",254
22,"San Antonio, TX",254
23,"Toronto (Canada), ON",250
24,"Charlotte, NC",242
25,"San Francisco, CA",242
26,"Salt Lake City, UT",228
27,"New York City (Brooklyn), NY",224
28,"Tampa, FL",223
29,"Philadelphia, PA",222
30,"Indianapolis, IN",221
31,"St. Louis, MO",216
32,"Vancouver, WA",214
33,"Louisville, KY",206
34,"Dallas, TX",205
35,"Spokane, WA",202
36,"Tacoma, WA",199
37,"Pittsburgh, PA",191
38,"Reno, NV",188
39,"Tulsa, OK",187
40,"Fresno, CA",184
41,"Salem, OR",182
42,"Anchorage, AK",181
43,"Scottsdale, AZ",180
44,"New York City, NY",180
45,"Nashville, TN",177
46,"Virginia Beach, VA",174
47,"Omaha, NE",171
48,"Eugene, OR",170
49,"Atlanta, GA",167
50,"Chandler, AZ",165
51,"Cincinnati, OH",156
52,"Tinley Park, IL",155
53,"Baltimore, MD",154
54,"Gilbert, AZ",150
55,"Everett, WA",150
56,"Wichita, KS",148
57,"Minneapolis, MN",148
58,"Knoxville, TN",144
59,"North Myrtle Beach, SC",143
60,"Santa Rosa, CA",143
61,"Grand Rapids, MI",143
62,"Long Beach, CA",142
63,"Bakersfield, CA",141
64,"Bellingham, WA",140
65,"Rochester, NY",136
66,"St. Petersburg, FL",135
67,"Ottawa (Canada), ON",134
68,"Milwaukee, WI",134
69,"Raleigh, NC",133
70,"Vancouver (Canada), BC",133
71,"Kansas City, MO",133
72,"Memphis, TN",129
73,"Santa Fe, NM",129
74,"Oklahoma City, OK",129
75,"Honolulu, HI",128
76,"Glendale, AZ",127
77,"Tempe, AZ",127
78,"Madison, WI",123
79,"Sarasota, FL",123
80,"Rockford, IL",122
81,"El Paso, TX",119
82,"Richmond, VA",118
83,"Riverside, CA",118
84,"Fort Wayne, IN",118
85,"Calgary (Canada), AB",115
86,"Yakima, WA",114
87,"Bremerton, WA",114
88,"Modesto, CA",113
89,"Fort Collins, CO",112
90,"Cape Coral, FL",111
91,"Huntington Beach, CA",111
92,"Longmont, CO",110
93,"Olympia, WA",109
94,"Edmonton (Canada), AB",109
95,"Auburn, WA",109
96,"Aurora, CO",109
97,"New York City (Manhattan), NY",109
98,"Buffalo, NY",106
99,"Cleveland, OH",106
100,"Boston, MA",105
101,"Fort Worth, TX",103
102,"Des Moines, IA",102
103,"Beaverton, OR",101
104,"Burbank, CA",101
105,"Anaheim, CA",101
106,"New Orleans, LA",101
107,"Greensboro, NC",101
108,"Fairbanks, AK",101
109,"Santa Barbara, CA",100
110,"Detroit, MI",100
111,"Boulder, CO",99
112,"Winnipeg (Canada), MB",99
113,"Naples, FL",99
114,"Bellevue, WA",98
115,"Ventura, CA",97
116,"Springfield, MO",96
117,"Columbia, MO",96
118,"El Cajon, CA",95
119,"Henderson, NV",94
120,"Lincoln, NE",94
121,"Port St. Lucie, FL",93
122,"Toledo, OH",92
123,"Wilmington, NC",92
124,"West Palm Beach, FL",91
125,"Victoria (Canada), BC",91
126,"Bend, OR",91
127,"New York City (Bronx), NY",90
128,"Syracuse, NY",90
129,"Cedar Rapids, IA",90
130,"Redding, CA",90
131,"Lake Havasu City, AZ",90
132,"Fort Lauderdale, FL",90
133,"Puyallup, WA",89
134,"Renton, WA",89
135,"Sedona, AZ",89
136,"Billings, MT",88
137,"Escondido, CA",88
138,"Corpus Christi, TX",88
139,"Maricopa, AZ",87
140,"Fayetteville, NC",87
141,"Columbia, SC",87
142,"Lakewood, CO",85
143,"Littleton, CO",84
144,"Oakland, CA",84
145,"Charleston, SC",84
146,"Lexington, KY",83
147,"Peoria, AZ",83
148,"Dayton, OH",82
149,"Wenatchee, WA",82
150,"Las Cruces, NM",82
151,"Missoula, MT",82
152,"Surprise, AZ",81
153,"Clearwater, FL",80
154,"Birmingham, AL",80
155,"Temecula, CA",79
156,"Boca Raton, FL",79
